customer_id,first_name,last_name,gender,marketing_opt_in,preferred_language,preferred_channel,lifetime_value,risk_score,first_order_date,last_order_date,num_orders,total_revenue,days_since_last_order,online_orders,store_orders,churned_90d
1,Julia,Garcia,female,1,pt,store,481.29,16,"2024-02-13 02:35:49","2024-02-13 02:35:49",1,95.37,661,1,0,1
2,Sofia,King,female,0,en,both,70.69,33,"2023-05-30 23:43:56","2024-11-11 09:18:59",4,2921.93,389,3,1,1
3,Alexander,Harris,female,1,pt,both,1389.89,51,"2023-05-08 06:50:40","2023-05-08 06:50:40",1,31.59,942,1,0,1
4,Ethan,Hall,prefer_not_to_say,1,pt,online,1515.92,42,"2023-08-25 15:40:53","2024-04-27 08:36:05",2,1389.51,587,0,2,1
5,Chloe,Thomas,female,1,pt,both,271.06,84,"2023-07-08 14:46:14","2023-07-08 14:46:14",1,787.33,881,1,0,1
6,Ethan,Hall,male,1,fr,both,855.84,51,"2023-03-25 03:23:49","2024-07-08 12:29:08",2,1788.09,515,2,0,1
7,Daniel,Taylor,male,0,en,online,1669.50,70,"2023-01-28 01:52:57","2025-10-03 16:12:58",4,1930.26,63,3,1,0
8,Gabriel,Wilson,male,1,en,store,43.55,60,"2023-04-25 02:20:23","2024-01-23 20:45:01",2,249.71,682,1,1,1
9,James,Clark,female,1,pt,online,13.97,48,"2023-03-13 20:57:30","2025-06-08 06:35:31",2,1098.45,180,1,1,1
10,Mateo,Wright,other,1,en,store,1522.17,63,NULL,NULL,0,NULL,NULL,NULL,NULL,1
11,Isabella,Davis,other,1,en,both,1704.32,83,"2025-06-26 18:58:22","2025-06-26 18:58:22",1,1383.22,162,1,0,1
12,Amelia,Young,male,0,en,online,40.36,51,"2023-12-20 18:18:42","2023-12-20 18:18:42",1,22.85,716,1,0,1
13,Ethan,Brown,male,0,en,online,187.83,57,"2023-04-13 15:47:40","2025-07-07 03:00:10",4,2945.52,151,3,1,1
14,Hannah,Clark,female,1,pt,both,248.61,72,"2023-09-15 03:44:26","2025-08-09 14:43:54",2,552.95,118,1,1,1
15,Ethan,Walker,male,1,en,both,36.49,6,"2023-11-25 05:12:34","2024-12-21 07:14:58",2,990.60,349,1,1,1
16,Henry,Brown,male,1,pt,both,1279.06,63,NULL,NULL,0,NULL,NULL,NULL,NULL,1
17,Victoria,Brown,male,1,en,online,1208.32,50,"2024-07-14 08:38:57","2025-07-06 20:41:58",2,1434.33,152,2,0,1
18,Lucas,Lewis,female,1,en,online,906.56,98,"2024-03-21 10:02:23","2024-03-21 10:02:23",1,123.18,624,0,1,1
19,Mia,Jackson,female,1,en,both,1064.03,21,"2025-08-16 23:32:39","2025-08-16 23:32:39",1,645.83,110,0,1,1
20,Hannah,Garcia,female,0,en,online,205.67,49,"2023-02-11 00:09:49","2023-07-07 12:59:42",2,135.18,882,1,1,1
21,Benjamin,Perez,other,1,en,store,227.18,85,"2024-03-31 05:47:15","2025-06-24 22:01:23",4,1851.95,163,3,1,1
22,Liam,Wright,male,0,en,online,5.11,50,"2023-03-24 06:08:22","2024-01-28 21:27:00",4,2482.23,676,2,2,1
23,Olivia,Walker,female,1,en,both,924.84,100,"2023-07-26 18:30:17","2023-07-26 18:30:17",1,36.66,863,1,0,1
24,Sophia,Anderson,male,1,en,both,4.74,56,"2023-08-07 00:20:39","2023-09-12 08:40:50",2,593.55,815,1,1,1
